province_n,district_n,sector_nam,cell_name,mean,median,count,sum
Amajyaruguru,Burera,Bungwe,Bungwe,0.0,0.0,66,0.0
Amajyaruguru,Burera,Bungwe,Bushenya,0.0,0.0,64,0.0
Amajyaruguru,Burera,Bungwe,Mudugari,0.0,0.0,55,0.0
Amajyaruguru,Burera,Bungwe,Tumba,0.0,0.0,120,0.0
Amajyaruguru,Burera,Butaro,Gatsibo,0.01344145,0.0,144,1.9355688
Amajyaruguru,Burera,Butaro,Mubuga,0.25730622,0.0,121,31.134054
Amajyaruguru,Burera,Butaro,Muhotora,0.0,0.0,110,0.0
Amajyaruguru,Burera,Butaro,Nyamicucu,0.00324928,0.0,144,0.4678963
Amajyaruguru,Burera,Butaro,Rusumo,0.17057686,0.0,110,18.763454
Amajyaruguru,Burera,Cyanika,Gasiza,0.0,0.0,66,0.0
Amajyaruguru,Burera,Cyanika,Gisovu,0.09082842,0.0,49,4.4505925
Amajyaruguru,Burera,Cyanika,Kabyiniro,0.06248515,0.0,70,4.3739605
Amajyaruguru,Burera,Cyanika,Kagitega,0.13415347,0.0,48,6.439367
Amajyaruguru,Burera,Cyanika,Kamanyana,0.10317102,0.0,91,9.388563
Amajyaruguru,Burera,Cyanika,Nyagahinga,0.0070718657,0.0,88,0.62232417
Amajyaruguru,Burera,Cyeru,Butare,0.038739774,0.0,72,2.7892637
Amajyaruguru,Burera,Cyeru,Ndongozi,0.0,0.0,90,0.0
Amajyaruguru,Burera,Cyeru,Ruyange,0.0,0.0,70,0.0
Amajyaruguru,Burera,Gahunga,Buramba,0.0040197447,0.0,126,0.50648785
Amajyaruguru,Burera,Gahunga,Gisizi,0.0,0.0,96,0.0
Amajyaruguru,Burera,Gahunga,Kidakama,0.08764055,0.0,48,4.2067466
Amajyaruguru,Burera,Gahunga,Nyangwe,0.0,0.0,112,0.0
Amajyaruguru,Burera,Gahunga,Rwasa,0.106730156,0.0,56,5.9768887
Amajyaruguru,Burera,Gatebe,Gabiro,0.0,0.0,128,0.0
Amajyaruguru,Burera,Gatebe,Musenda,0.0,0.0,156,0.0
Amajyaruguru,Burera,Gatebe,Rwambogo,0.0,0.0,96,0.0
Amajyaruguru,Burera,Gatebe,Rwasa,0.0,0.0,110,0.0
Amajyaruguru,Burera,Gitovu,Mariba,0.0,0.0,160,0.0
Amajyaruguru,Burera,Gitovu,Musasa,0.00997731,0.0,154,1.5365057
Amajyaruguru,Burera,Gitovu,Runoga,0.0,0.0,88,0.0
Amajyaruguru,Burera,Kagogo,Kabaya,0.0,0.0,40,0.0
Amajyaruguru,Burera,Kagogo,Kayenzi,0.07876446,0.0,63,4.962161
Amajyaruguru,Burera,Kagogo,Kiringa,0.0922644,0.0,72,6.643037
Amajyaruguru,Burera,Kagogo,Nyamabuye,0.11100881,0.0,99,10.989872
Amajyaruguru,Burera,Kinoni,Gafuka,0.0,0.0,70,0.0
Amajyaruguru,Burera,Kinoni,Nkenke,0.0067131235,0.0,180,1.2083622
Amajyaruguru,Burera,Kinoni,Nkumba,0.021583045,0.0,88,1.899308
Amajyaruguru,Burera,Kinoni,Ntaruka,0.2842868,0.0,63,17.910069
Amajyaruguru,Burera,Kinyababa,Bugamba,0.0,0.0,90,0.0
Amajyaruguru,Burera,Kinyababa,Kaganda,0.0,0.0,165,0.0
Amajyaruguru,Burera,Kinyababa,Musasa,0.0,0.0,81,0.0
Amajyaruguru,Burera,Kinyababa,Rutovu,0.0,0.0,182,0.0
Amajyaruguru,Burera,Kivuye,Bukwashuri,0.041997086,0.0,96,4.03172
Amajyaruguru,Burera,Kivuye,Gashanje,0.0,0.0,210,0.0
Amajyaruguru,Burera,Kivuye,Murwa,0.0,0.0,144,0.0
Amajyaruguru,Burera,Kivuye,Nyirataba,0.0,0.0,70,0.0
Amajyaruguru,Burera,Nemba,Kivumu,0.0364836,0.0,90,3.283524
Amajyaruguru,Burera,Nemba,Nyamugari,0.009898083,0.0,240,2.37554
Amajyaruguru,Burera,Nemba,Rubona,0.010624674,0.0,160,1.6999478
Amajyaruguru,Burera,Nemba,Rushara,0.0,0.0,90,0.0
Amajyaruguru,Burera,Rugarama,Cyahi,0.0,0.0,70,0.0
Amajyaruguru,Burera,Rugarama,Gafumba,0.0,0.0,81,0.0
Amajyaruguru,Burera,Rugarama,Karangara,0.0,0.0,99,0.0
Amajyaruguru,Burera,Rugarama,Rurembo,0.0,0.0,130,0.0
